eag.uz,62.209.128.112,True
eads.uz,185.26.230.129,False
eas.uz,91.212.89.100,True
east.uz,81.177.140.123,False
eas.uz,91.212.89.100,True
ebs.uz,83.69.139.168,True
ebs.uz,83.69.139.168,True
ec.uz,195.158.19.70,True
eca.uz,46.8.35.129,True
ebru.uz,91.106.207.14,False
ecg.uz,23.229.179.35,False
ecc.uz,62.209.128.113,True
ecafe.uz,91.212.89.100,True
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclipse.uz,37.187.79.16,False
economics.uz,195.158.0.162,True
eci.uz,83.69.139.151,True
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eco.uz,91.212.89.68,True
ect.uz,83.221.178.224,True
eclair.uz,91.219.194.26,False
ecos.uz,91.212.89.100,True
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
ed.uz,81.95.237.17,True
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
eclair.uz,91.219.194.26,False
eco.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edlund.uz,62.209.128.102,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edu.uz,195.158.31.27,True
educator.uz,81.177.141.117,False
edo.uz,46.8.35.130,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
education.uz,83.221.178.223,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edunet.uz,83.69.139.154,True
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
effect.uz,91.212.180.198,True
egc.uz,195.158.0.162,True
eg.uz,173.254.28.49,False
egg.uz,91.106.207.54,False
egoist.uz,91.212.89.68,True
egis.uz,46.8.35.129,True
egis.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egp.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egs.uz,31.170.165.249,False
egoist.uz,91.212.89.68,True
eh.uz,91.212.89.7,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egis.uz,46.8.35.129,True
egis.uz,46.8.35.129,True
egs.uz,31.170.165.249,False
egoist.uz,91.212.89.68,True
ei.uz,192.64.147.181,False
egp.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
eight.uz,89.236.193.115,True
ej.uz,109.74.198.243,False
ejournal.uz,91.196.76.5,True
ek.uz,185.8.212.59,True
elab.uz,195.158.28.146,True
elak.uz,37.157.195.202,False
eko.uz,5.9.18.110,False
eko.uz,5.9.18.110,False
elba.uz,50.87.153.41,False
el.uz,80.80.208.8,True
elaine.uz,62.209.128.102,True
elbi.uz,5.9.18.110,False
eldorado.uz,82.146.45.166,False
elektro.uz,178.159.250.7,False
electro.uz,91.188.128.21,True
electronics.uz,69.73.144.6,False
eldor.uz,174.142.207.207,False
elena.uz,81.95.237.17,True
elif.uz,185.8.212.31,True
eli.uz,173.254.28.49,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elle.uz,94.158.48.2,True
elixir.uz,208.113.238.46,False
elit.uz,93.171.222.10,False
elixir.uz,208.113.238.46,False
ellipse.uz,94.158.48.2,True
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elma.uz,83.69.139.151,True
ellips.uz,62.209.128.113,True
ello.uz,144.76.74.166,False
elon.uz,91.212.89.70,True
elt.uz,5.9.18.110,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
elixir.uz,208.113.238.46,False
ema.uz,31.170.162.252,False
eman.uz,89.175.252.70,False
emc.uz,168.159.218.91,False
elixir.uz,208.113.238.46,False
emerald.uz,31.170.164.159,False
emergency.uz,195.158.27.26,True
emir.uz,91.188.128.21,True
emir.uz,91.188.128.21,True
ems.uz,89.175.252.66,False
emir.uz,91.188.128.21,True
emir.uz,91.188.128.21,True
ems.uz,89.175.252.66,False
emz.uz,195.158.12.54,True
en.uz,91.212.89.7,True
ence.uz,217.12.82.36,True
encore.uz,193.200.173.4,False
endocrinology.uz,195.158.27.26,True
enews.uz,212.154.192.55,False
energizer.uz,89.184.76.197,False
energy.uz,217.12.82.36,True
engineer.uz,71.18.49.222,False
eng.uz,91.212.89.68,True
engineering.uz,71.18.49.222,False
eni.uz,195.110.124.133,False
enjoy.uz,46.8.35.129,True
enk.uz,83.69.139.168,True
enkom.uz,173.254.28.54,False
enjoy.uz,46.8.35.129,True
enjoy.uz,46.8.35.129,True
enjoy.uz,46.8.35.129,True
ent.uz,62.209.133.18,True
enter.uz,77.222.61.141,False
enso.uz,62.209.128.102,True
energy.uz,217.12.82.36,True
eng.uz,91.212.89.68,True
enjoy.uz,46.8.35.129,True
enjoy.uz,46.8.35.129,True
enjoy.uz,46.8.35.129,True
enjoy.uz,46.8.35.129,True
ep.uz,91.212.89.100,True
eq.uz,178.218.201.248,True
er.uz,91.212.89.70,True
ericsson.uz,193.180.16.203,False
erl.uz,50.21.190.221,False
esab.uz,165.160.15.20,False
esan.uz,178.159.250.7,False
es.uz,46.8.35.129,True
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
esq.uz,46.8.35.129,True
ess.uz,91.212.89.95,True
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
esperanza.uz,5.9.18.110,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
esso.uz,158.35.238.12,False
estrada.uz,195.154.168.161,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
ess.uz,91.212.89.95,True
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
et.uz,195.43.83.128,False
espresso.uz,94.250.248.155,False
espresso.uz,94.250.248.155,False
etb.uz,46.8.35.129,True
etd.uz,91.212.180.198,True
etam.uz,185.26.230.137,False
etek.uz,5.9.18.110,False
ete.uz,62.152.86.137,False
etc.uz,80.80.208.5,True
etm.uz,62.209.133.18,True
eu.uz,142.4.215.193,False
eurasia.uz,46.8.35.130,True
eurostar.uz,89.175.252.66,False
euro.uz,91.219.194.57,False
eva.uz,46.8.35.129,True
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
evil.uz,46.8.35.129,True
evo.uz,94.141.64.1,True
evm.uz,50.87.100.245,False
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
everest.uz,46.8.35.129,True
events.uz,78.110.50.145,False
evergreen.uz,91.212.89.7,True
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
ew.uz,77.222.40.115,False
everest.uz,46.8.35.129,True
everest.uz,46.8.35.129,True
ex.uz,31.170.165.21,False
everest.uz,46.8.35.129,True
examen.uz,77.222.57.40,False
exam.uz,54.235.255.118,False
exchange.uz,81.95.228.175,True
excel.uz,83.221.178.223,True
exchange.uz,81.95.228.175,True
exchange.uz,81.95.228.175,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
export-import.uz,217.12.82.36,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
expo.uz,91.212.89.7,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
expo.uz,91.212.89.7,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
extremal.uz,82.215.71.202,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exxon.uz,158.35.238.9,False
exchange.uz,81.95.228.175,True
exp.uz,5.101.153.39,False
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
expo.uz,91.212.89.7,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
expo.uz,91.212.89.7,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
explorer.uz,46.8.35.129,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
exporter.uz,91.212.89.100,True
explorer.uz,46.8.35.129,True
ey.uz,217.19.248.132,False
eye.uz,192.185.15.101,False
ez.uz,72.9.152.74,False
eads.uz,185.26.230.129,False
east.uz,81.177.140.123,False
eas.uz,91.212.89.100,True
ebs.uz,83.69.139.168,True
ebru.uz,91.106.207.14,False
ec.uz,195.158.19.70,True
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
eclair.uz,91.219.194.26,False
ect.uz,83.221.178.224,True
eclair.uz,91.219.194.26,False
eclipse.uz,37.187.79.16,False
eco.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
ed.uz,81.95.237.17,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
economics.uz,195.158.0.162,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edem.uz,62.209.133.18,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
edifier.uz,91.212.89.68,True
edifier.uz,91.212.89.68,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edo.uz,46.8.35.130,True
educator.uz,81.177.141.117,False
edlund.uz,62.209.128.102,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
education.uz,83.221.178.223,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
edu.uz,195.158.31.27,True
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
educator.uz,81.177.141.117,False
eg.uz,173.254.28.49,False
effect.uz,91.212.180.198,True
effective.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
egis.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egg.uz,91.106.207.54,False
egoist.uz,91.212.89.68,True
egis.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
egoist.uz,91.212.89.68,True
eh.uz,91.212.89.7,True
egis.uz,46.8.35.129,True
egis.uz,46.8.35.129,True
egoist.uz,91.212.89.68,True
egs.uz,31.170.165.249,False
egoist.uz,91.212.89.68,True
ei.uz,192.64.147.181,False
eight.uz,89.236.193.115,True
ej.uz,109.74.198.243,False
ek.uz,185.8.212.59,True
eko.uz,5.9.18.110,False
el.uz,80.80.208.8,True
eli.uz,173.254.28.49,False
